"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,5.86548207564866e-06,82,91,8,0.0879120879120879,0.0975609756097561,"GO:0045824","GO:BP","negative regulation of innate immune response",21031,12040,"GO:0002832, GO:0031348, GO:0032102, GO:0045087, GO:0045088, GO:0050777"
"query_1",TRUE,6.73513280348775e-06,490,91,15,0.164835164835165,0.0306122448979592,"GO:0001819","GO:BP","positive regulation of cytokine production",21031,481,"GO:0001816, GO:0001817, GO:0010628, GO:0051240"
"query_1",TRUE,7.1166422583671e-06,492,91,15,0.164835164835165,0.0304878048780488,"GO:0002764","GO:BP","immune response-regulating signaling pathway",21031,1282,"GO:0007165, GO:0050776"
"query_1",TRUE,1.63122080073509e-05,2955,91,35,0.384615384615385,0.011844331641286,"GO:0051239","GO:BP","regulation of multicellular organismal process",21031,14037,"GO:0032501, GO:0050789"
"query_1",TRUE,1.93970921592542e-05,35,91,6,0.0659340659340659,0.171428571428571,"GO:0070269","GO:BP","pyroptosis",21031,16523,"GO:0012501"
"query_1",TRUE,2.70607756187524e-05,7,91,4,0.043956043956044,0.571428571428571,"GO:0070106","GO:BP","interleukin-27-mediated signaling pathway",21031,16412,"GO:0019221"
"query_1",TRUE,3.38437876483324e-05,66,91,7,0.0769230769230769,0.106060606060606,"GO:0050688","GO:BP","regulation of defense response to virus",21031,13648,"GO:0002831, GO:0031347, GO:0032101, GO:0051607"
"query_1",TRUE,3.82003092323461e-05,325,91,12,0.131868131868132,0.0369230769230769,"GO:0042742","GO:BP","defense response to bacterium",21031,10684,"GO:0009617, GO:0098542"
"query_1",TRUE,4.05368799289956e-05,2603,91,32,0.351648351648352,0.0122935074913561,"GO:0010557","GO:BP","positive regulation of macromolecule biosynthetic process",21031,4259,"GO:0009059, GO:0010556, GO:0010604, GO:0031328"
"query_1",TRUE,4.8489512889789e-05,405,91,13,0.142857142857143,0.0320987654320988,"GO:0032102","GO:BP","negative regulation of response to external stimulus",21031,7633,"GO:0009605, GO:0032101, GO:0048585"
"query_1",TRUE,5.51793283746945e-05,336,91,12,0.131868131868132,0.0357142857142857,"GO:0032496","GO:BP","response to lipopolysaccharide",21031,7879,"GO:0002237, GO:0033993, GO:1901700"
"query_1",TRUE,5.9889158063689e-05,156,91,9,0.0989010989010989,0.0576923076923077,"GO:0002753","GO:BP","cytoplasmic pattern recognition receptor signaling pathway",21031,1271,"GO:0002221, GO:0030522"
"query_1",TRUE,6.04262327997423e-05,7394,91,58,0.637362637362637,0.00784419799837706,"GO:0051716","GO:BP","cellular response to stimulus",21031,14364,"GO:0009987, GO:0050896"
"query_1",TRUE,6.11848235441581e-05,42,91,6,0.0659340659340659,0.142857142857143,"GO:0032728","GO:BP","positive regulation of interferon-beta production",21031,8049,"GO:0032481, GO:0032608, GO:0032648"
"query_1",TRUE,6.22532101061606e-05,21,91,5,0.0549450549450549,0.238095238095238,"GO:0060339","GO:BP","negative regulation of type I interferon-mediated signaling pathway",21031,15017,"GO:0001960, GO:0045824, GO:0060337, GO:0060338"
"query_1",TRUE,6.22693547502788e-05,1189,91,21,0.230769230769231,0.0176619007569386,"GO:0010628","GO:BP","positive regulation of gene expression",21031,4324,"GO:0010467, GO:0010468, GO:0010557"
"query_1",TRUE,6.68959271119764e-05,158,91,9,0.0989010989010989,0.0569620253164557,"GO:0001959","GO:BP","regulation of cytokine-mediated signaling pathway",21031,573,"GO:0009966, GO:0019221, GO:0060759"
"query_1",TRUE,7.19789108166003e-05,214,91,10,0.10989010989011,0.0467289719626168,"GO:0071222","GO:BP","cellular response to lipopolysaccharide",21031,16982,"GO:0032496, GO:0071219, GO:0071396, GO:1901701"
"query_1",TRUE,8.55282158740533e-05,2685,91,32,0.351648351648352,0.0119180633147114,"GO:0031328","GO:BP","positive regulation of cellular biosynthetic process",21031,7377,"GO:0009891, GO:0031325, GO:0031326, GO:0044249"
"query_1",TRUE,9.79077402449675e-05,354,91,12,0.131868131868132,0.0338983050847458,"GO:0002237","GO:BP","response to molecule of bacterial origin",21031,777,"GO:0009617, GO:0010033, GO:0043207"
"query_1",TRUE,0.000100559877410288,77,91,7,0.0769230769230769,0.0909090909090909,"GO:0001960","GO:BP","negative regulation of cytokine-mediated signaling pathway",21031,574,"GO:0001959, GO:0009968, GO:0019221, GO:0060761"
"query_1",TRUE,0.000103024988624088,2706,91,32,0.351648351648352,0.0118255728011826,"GO:0009891","GO:BP","positive regulation of biosynthetic process",21031,3789,"GO:0009058, GO:0009889, GO:0009893"
"query_1",TRUE,0.000110440674043093,6250,91,52,0.571428571428571,0.00832,"GO:0048518","GO:BP","positive regulation of biological process",21031,13226,"GO:0008150, GO:0050789"
"query_1",TRUE,0.000110781500187916,224,91,10,0.10989010989011,0.0446428571428571,"GO:0071219","GO:BP","cellular response to molecule of bacterial origin",21031,16979,"GO:0002237, GO:0071216"
"query_1",TRUE,0.000143383344373742,81,91,7,0.0769230769230769,0.0864197530864197,"GO:0060761","GO:BP","negative regulation of response to cytokine stimulus",21031,15402,"GO:0034097, GO:0048585, GO:0060759"
"query_1",TRUE,0.00015631021064404,124,91,8,0.0879120879120879,0.0645161290322581,"GO:0071346","GO:BP","cellular response to type II interferon",21031,17098,"GO:0034341, GO:0071345"
"query_1",TRUE,0.000158479576737878,5717,91,49,0.538461538461538,0.00857092880881581,"GO:0048522","GO:BP","positive regulation of cellular process",21031,13230,"GO:0009987, GO:0048518, GO:0050794"
"query_1",TRUE,0.000276795013701466,247,91,10,0.10989010989011,0.0404858299595142,"GO:0031348","GO:BP","negative regulation of defense response",21031,7396,"GO:0006952, GO:0031347, GO:0048585"
